race,start,event_id,event_name,event_code,seats,alpha,lane,heat,distance,school,crew,cox,coach
52,2020-10-25T08:30:00+00:00,38,Senior Women's Single Scull,S W 1X (2),1,A,1,Division 1,2000,North Esk,['A.Boutcher'],[],[]
52,2020-10-25T08:30:00+00:00,38,Senior Women's Single Scull,S W 1X (2),1,A,2,Division 1,2000,Huon,['K.Hall'],[],['P.Newbon']
52,2020-10-25T08:30:00+00:00,38,Senior Women's Single Scull,S W 1X (2),1,A,3,Division 1,2000,Huon,['E.Mure'],[],['J.Driessen']
52,2020-10-25T08:30:00+00:00,38,Senior Women's Single Scull,S W 1X (2),1,A,4,Division 1,2000,North Esk,['S.Ashlin'],[],[]
52,2020-10-25T08:30:00+00:00,38,Senior Women's Single Scull,S W 1X (2),1,A,5,Division 1,2000,New Norfolk,['M.McCausland'],[],[]
52,2020-10-25T08:30:00+00:00,38,Senior Women's Single Scull,S W 1X (2),1,A,6,Division 1,2000,Mersey 1,['E.Marshall'],[],[]
53,2020-10-25T08:36:00+00:00,38,Senior Women's Single Scull,S W 1X (2),1,B,2,Division 2,2000,Mersey 2,['C.Brinkman'],[],[]
53,2020-10-25T08:36:00+00:00,38,Senior Women's Single Scull,S W 1X (2),1,B,3,Division 2,2000,North Esk,['L.Wrigley'],[],[]
53,2020-10-25T08:36:00+00:00,38,Senior Women's Single Scull,S W 1X (2),1,B,4,Division 2,2000,North Esk,['G.Brown'],[],[]
53,2020-10-25T08:36:00+00:00,38,Senior Women's Single Scull,S W 1X (2),1,B,5,Division 2,2000,North Esk,['J.Malisauskas'],[],[]
54,2020-10-25T08:42:00+00:00,38,Senior Women's Single Scull,S W 1X (2),1,C,2,Division 3,2000,Bucks,['C.Vicars'],[],[]
54,2020-10-25T08:42:00+00:00,38,Senior Women's Single Scull,S W 1X (2),1,C,3,Division 3,2000,New Norfolk,['J.Stephens'],[],[]
54,2020-10-25T08:42:00+00:00,38,Senior Women's Single Scull,S W 1X (2),1,C,4,Division 3,2000,Ulverstone,['B.Schultz'],[],[]
54,2020-10-25T08:42:00+00:00,38,Senior Women's Single Scull,S W 1X (2),1,C,5,Division 3,2000,Bucks,['M.Mace'],[],[]
55,2020-10-25T08:48:00+00:00,39,Under 17 Women's Coxed Quad Scull,U17 W 4X+,4,D,1,Final,1500,TUBC,"['S.Mitchelmore', 'M.Cocker', 'A.Fry', 'P.Kennett']",['H.Paynter'],[]
55,2020-10-25T08:48:00+00:00,39,Under 17 Women's Coxed Quad Scull,U17 W 4X+,4,D,2,Final,1500,Kentish,"['S.Welch', 'J.Behrmann', 'L.Barker', 'J.Welch']",['T.Jago'],['G.Scattergood']
55,2020-10-25T08:48:00+00:00,39,Under 17 Women's Coxed Quad Scull,U17 W 4X+,4,D,3,Final,1500,DMCRC,"['A.Bent', 'E.Palmer', 'M.West', 'A.McCoid']",['E.Shelley'],['N.Stump']
55,2020-10-25T08:48:00+00:00,39,Under 17 Women's Coxed Quad Scull,U17 W 4X+,4,D,4,Final,1500,New Norfolk,"['L.Midson', 'L.Morgan', 'R.Morgan', 'J.Lobb']",['J.Triffett'],['P.Hansen']
55,2020-10-25T08:48:00+00:00,39,Under 17 Women's Coxed Quad Scull,U17 W 4X+,4,D,5,Final,1500,Mersey,"['S.Ellis', 'L.Doonan', 'O.Yeates', 'M.Castles']",['M.Spaulding'],[]
56,2020-10-25T08:58:00+00:00,41,Under 19 Women's Coxed Four,U19 W 4+,4,E,2,Division 1,2000,DMCRC,"['R.Forsyth', 'H.Gregory', 'M.Mampieri', 'E.Bird']",['M.Harrison'],['N.Stump']
56,2020-10-25T08:58:00+00:00,41,Under 19 Women's Coxed Four,U19 W 4+,4,E,3,Division 1,2000,Mersey,"['C.Greenhill', 'E.Spaulding', 'L.Tippett', 'P.Tippett']",['M.Spaulding'],[]
56,2020-10-25T08:58:00+00:00,41,Under 19 Women's Coxed Four,U19 W 4+,4,E,4,Division 1,2000,TUBC,"['S.Rule', 'A.Schrader', 'T.Thomas', 'S.Russell']",['M.Lamb'],[]
56,2020-10-25T08:58:00+00:00,41,Under 19 Women's Coxed Four,U19 W 4+,4,E,5,Division 1,2000,DMCRC,"['H.Curry', 'A.McMahon', 'M.Prescott', 'P.Davis']",['C.Bayley'],['N.Stump']
57,2020-10-25T09:04:00+00:00,41,Under 19 Women's Coxed Four,U19 W 4+,4,F,2,Division 2,2000,Friends,"['K.Fajrianto', 'A.Gardner', 'C.Balmforth', 'C.Ralph']",['C.Mead'],['T.Pilkington']
57,2020-10-25T09:04:00+00:00,41,Under 19 Women's Coxed Four,U19 W 4+,4,F,3,Division 2,2000,New Norfolk,"['C.Geappen', 'E.Triffett', 'E.Lisson', 'C.Forster']",['J.Triffett'],[]
57,2020-10-25T09:04:00+00:00,41,Under 19 Women's Coxed Four,U19 W 4+,4,F,4,Division 2,2000,Friends,"['J.Powell-Davies', 'Y.Cho', 'M.White', 'C.Hornett']",['I.Fox'],['T.Pilkington']
58,2020-10-25T09:10:00+00:00,42,Senior Men's Single Scull,S M 1X (2),1,G,1,Division 1,2000,TUBC,['A.Paynter'],[],[]
